id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,local_region
17497,GA23,small_airport,Wyatt Airport,34.57830047607422,-85.38390350341797,720,Georgia,GA
9028,24SC,small_airport,The Farm Airport,33.93579864501953,-81.42970275878906,580,South Carolina,SC
7817,13GA,small_airport,Oak Ridge Plantation Airport,31.3666,-83.754898,350,Georgia,GA
15832,9MO9,small_airport,Eagle Lodge Airport,39.556403,-93.249035,650,Missouri,MO
6561,00SC,small_airport,Flying O Airport,34.0093994140625,-80.26719665527344,150,South Carolina,SC
504725,US-7303,small_airport,NR3 Farms Airport,28.717364,-82.028781,90,Florida,FL
26111,WY55,small_airport,Taylor Field,44.41859817504883,-104.59400177001953,4950,Wyoming,WY
16516,C43,small_airport,Hiram Cure Airport,42.769318,-84.964727,853,Michigan,MI
341570,45MS,small_airport,Box Field,33.547164,-90.567094,123,Mississippi,MS
17953,II72,small_airport,Anderson Airport,39.19580078125,-85.20559692382812,965,Indiana,IN
17458,FL91,small_airport,Big Cypress Ranch Airfield,26.309799,-81.227303,22,Florida,FL
7195,0GE4,small_airport,Pecan Patch Airstrip,33.33140182495117,-84.2667007446289,860,Georgia,GA
25252,UT09,small_airport,Tavaputs Ranch Airport,39.500912,-110.179739,9200,Utah,UT
335939,US-1531,small_airport,Stone Cabin Airstrip,39.77741,-110.31729,,Utah,UT
346036,US-4678,small_airport,Sagebrush Flat / Peter's Point Airport,39.73503,-110.11694,7262,Utah,UT
346037,US-4679,small_airport,Daddy Spring Airport,39.69595,-110.25004,8328,Utah,UT
346038,US-4680,small_airport,Rock Creek Airport,39.53881,-110.0331,4465,Utah,UT
346042,US-4684,small_airport,Horsecorn Canyon Airport,39.42193,-109.84008,8543,Utah,UT
348063,US-5299,small_airport,Chandler Canyon Airstrip,39.46727,-110.02273,4390,Utah,UT
348109,US-5345,small_airport,North Point Airstrip,39.604,-109.9552,7336,Utah,UT
348123,US-5358,small_airport,Roan Cliffs Airstrip,39.53821,-110.24437,9606,Utah,UT
348136,US-5371,small_airport,Tabyago Spring Airstrip,39.6218,-109.8436,7162,Utah,UT
348144,US-5378,small_airport,Dog Knoll Airstrip,39.6009,-109.8008,7244,Utah,UT
18514,K1S5,small_airport,Sunnyside Municipal Airport,46.32709885,-119.9700012,768,Washington,WA
21399,KX43,small_airport,Sunray Airport,36.029202,-101.829002,3507,Texas,TX
6985,08LS,small_airport,Aeleron Airport,30.40829,-92.033444,51,Louisiana,LA
45443,51LS,small_airport,Red Oak Landing Airport,30.438053,-92.116653,55,Louisiana,LA
333944,US-1235,small_airport,Ron Airport,30.435556,-92.118333,55,Louisiana,LA
348880,US-5540,small_airport,Sunspot Airport,32.79288,-105.82026,9078,New Mexico,NM
22965,NE87,small_airport,Rempe Private Airport,40.097198486328125,-98.0647964477539,1760,Nebraska,NE
509166,US-7783,small_airport,Tarkio Montana Ranch Airport,47.03781,-114.7308,3127,Montana,MT
16044,9WI9,small_airport,Carlson Airport,46.62080001831055,-92.08190155029297,680,Wisconsin,WI
22785,NC43,small_airport,Bear Pen Airport,34.12519836425781,-78.33809661865234,63,North Carolina,NC
14348,7P5,small_airport,Piso Airport,45.065559,-88.427152,891,Wisconsin,WI
45933,32WN,small_airport,Bowman Ultralight Airstrip,45.099013,-88.419871,840,Wisconsin,WI
344271,US-3999,small_airport,Bean Airport,33.77887,-112.42869,1634,Arizona,AZ
344273,US-4001,small_airport,Joy Ranch Airport,33.82205,-112.50109,1890,Arizona,AZ
9827,2VA2,small_airport,Melville Airstrip,37.145999908447266,-76.79000091552734,90,Virginia,VA
14859,8AK6,small_airport,Little Susitna Airport,61.37189865112305,-150.26199340820312,70,Alaska,AK
344691,US-4146,small_airport,McKinney Airport,41.95431,-75.64979,892,Pennsylvania,PA
26085,WY23,small_airport,Iberlin Strip,44.073299407958984,-106.26599884033203,4331,Wyoming,WY
12546,5NE4,small_airport,Snyder Ranch Airport,41.571258,-101.173046,3330,Nebraska,NE
12547,5NE5,small_airport,Trego Airport,41.20669937133789,-101.14299774169922,2957,Nebraska,NE
7736,11OR,small_airport,Holiday Sky Ranch Airport,43.39350128173828,-123.28500366210938,510,Oregon,OR
23538,OG24,small_airport,Flying D Ranch Airport,43.38869857788086,-123.22200012207031,730,Oregon,OR
21840,MA97,small_airport,Waters Airport,42.125099182128906,-71.73979949951172,700,Massachusetts,MA
